module,n_genes,Zdensity,Zconnectivity,Zsummary,species,n_common,n_tissues,n_libs
M12,172,5.38,-1.22,2.08,Canis_lupus_familiaris,8716,38,258
M14,40,0.45,1.92,1.19,Canis_lupus_familiaris,8716,38,258
M1,762,13.37,-3.44,4.96,Canis_lupus_familiaris,8716,38,258
M6,234,6.45,2.82,4.63,Canis_lupus_familiaris,8716,38,258
M22,51,22.26,0.25,11.25,Canis_lupus_familiaris,8716,38,258
M23,33,-1.5,0.43,-0.53,Canis_lupus_familiaris,8716,38,258
M21,50,2.24,-0.2,1.02,Canis_lupus_familiaris,8716,38,258
M18,79,25.8,-0.44,12.68,Canis_lupus_familiaris,8716,38,258
M13,108,18.45,0.51,9.48,Canis_lupus_familiaris,8716,38,258
M9,211,64.49,0.22,32.35,Canis_lupus_familiaris,8716,38,258
M25,39,-0.01,2.45,1.22,Canis_lupus_familiaris,8716,38,258
M19,76,32.4,-2.78,14.81,Canis_lupus_familiaris,8716,38,258
M11,162,5.28,0.86,3.07,Canis_lupus_familiaris,8716,38,258
M10,184,21.46,-0.32,10.57,Canis_lupus_familiaris,8716,38,258
M24,29,4.28,2.83,3.55,Canis_lupus_familiaris,8716,38,258
M5,159,12.88,3.14,8.01,Canis_lupus_familiaris,8716,38,258
M15,93,14.21,-1.15,6.53,Canis_lupus_familiaris,8716,38,258
M2,524,53.05,1.17,27.11,Canis_lupus_familiaris,8716,38,258
M4,294,68.42,-1.11,33.66,Canis_lupus_familiaris,8716,38,258
M8,215,46.43,4.48,25.46,Canis_lupus_familiaris,8716,38,258
M3,316,47.03,-4.07,21.48,Canis_lupus_familiaris,8716,38,258
M17,77,10.03,1.94,5.99,Canis_lupus_familiaris,8716,38,258
M20,41,8.53,-0.47,4.03,Canis_lupus_familiaris,8716,38,258
M16,111,21.83,0.73,11.28,Canis_lupus_familiaris,8716,38,258
M7,226,42.51,-0.5,21.0,Canis_lupus_familiaris,8716,38,258
M27,9,3.7,-0.31,1.7,Canis_lupus_familiaris,8716,38,258
