module,n_genes,Zdensity,Zconnectivity,Zsummary,species,n_common,n_tissues,n_libs
M12,154,4.12,-4.03,0.04,Felis_catus,8655,13,62
M14,41,-1.97,-2.53,-2.25,Felis_catus,8655,13,62
M1,750,4.86,-7.04,-1.09,Felis_catus,8655,13,62
M6,225,0.11,-1.02,-0.46,Felis_catus,8655,13,62
M22,49,4.16,0.04,2.1,Felis_catus,8655,13,62
M23,30,-2.26,-1.18,-1.72,Felis_catus,8655,13,62
M21,51,1.86,0.68,1.27,Felis_catus,8655,13,62
M18,81,7.6,-0.48,3.56,Felis_catus,8655,13,62
M13,102,8.0,-0.25,3.87,Felis_catus,8655,13,62
M9,203,21.25,0.02,10.63,Felis_catus,8655,13,62
M25,39,-2.39,1.58,-0.41,Felis_catus,8655,13,62
M19,68,13.59,-1.8,5.9,Felis_catus,8655,13,62
M11,155,-2.33,-0.13,-1.23,Felis_catus,8655,13,62
M10,171,5.01,-1.45,1.78,Felis_catus,8655,13,62
M24,28,3.83,1.31,2.57,Felis_catus,8655,13,62
M5,175,3.8,-0.47,1.66,Felis_catus,8655,13,62
M15,94,2.68,-0.65,1.02,Felis_catus,8655,13,62
M2,519,31.99,-0.54,15.72,Felis_catus,8655,13,62
M4,285,41.94,-0.94,20.5,Felis_catus,8655,13,62
M8,213,28.62,3.43,16.02,Felis_catus,8655,13,62
M3,307,30.01,-2.29,13.86,Felis_catus,8655,13,62
M17,77,4.13,0.44,2.28,Felis_catus,8655,13,62
M20,44,8.34,0.36,4.35,Felis_catus,8655,13,62
M16,111,10.35,-0.17,5.09,Felis_catus,8655,13,62
M7,230,34.57,-0.39,17.09,Felis_catus,8655,13,62
M27,10,0.14,-1.34,-0.6,Felis_catus,8655,13,62
